LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT
FATTY ACYLS (FA)||FA 14:0|C14:0||C14H28O2|228,2094|2,72
FATTY ACYLS (FA)||FA 14:1|C14:1||C14H26O2|226,1931|2,08
FATTY ACYLS (FA)||FA 15:0|C15:0||C15H30O2|242,2249|3,16
FATTY ACYLS (FA)||FA 16:0|C16:0||C16H32O2|256,2413|3,61
FATTY ACYLS (FA)||FA 16:1|C16:1||C16H30O2|254,2252|2,92
FATTY ACYLS (FA)||FA 16:2|C16:2||C16H28O2|252,2085|2,41
FATTY ACYLS (FA)||FA 16:3|C16:3||C16H26O2|250,1936|1,98
FATTY ACYLS (FA)||FA 17:0|C17:0||C17H34O2|270,2564|4,02
FATTY ACYLS (FA)||FA 17:1|C17:1||C17H32O2|268,2406|3,36
FATTY ACYLS (FA)||FA 18:0|C18:0||C18H36O2|284,2728|4,41
FATTY ACYLS (FA)||FA 18:1|C18:1||C18H34O2|282,2569|3,77
FATTY ACYLS (FA)||FA 18:2|C18:2||C18H32O2|280,2414|3,18
FATTY ACYLS (FA)||FA 18:3|C18:3||C18H30O2|278,2251|2,67
FATTY ACYLS (FA)||FA 19:0|C19.0||C19H38O2|298,2874|4,79
FATTY ACYLS (FA)||FA 19:1|C19:1||C19H36O2|296,2717|4,14
FATTY ACYLS (FA)||FA 20:0|C20:0||C20H40O2|312,3033|5,23
FATTY ACYLS (FA)||FA 20:1|C20:1||C20H38O2|310,2878|4,51
FATTY ACYLS (FA)||FA 20:2|C20:2||C20H36O2|308,2718|3,98
FATTY ACYLS (FA)||FA 20:3|C20:3||C20H34O2|306,2559|3,49
FATTY ACYLS (FA)||FA 20:4|C20:4||C20H32O2|304,2402|3,09
FATTY ACYLS (FA)||FA 20:5|C20:5||C20H30O2|302,2253|2,60
FATTY ACYLS (FA)||FA 22:0|C22:0||C22H44O2|340,3347|6,36
FATTY ACYLS (FA)||FA 22:1|C22:1||C22H42O2|338,3225|5,31
FATTY ACYLS (FA)||FA 22:4|C22:4||C22H36O2|332,2706|3,77
FATTY ACYLS (FA)||FA 22:5|C22:5||C22H34O2|330,2552|3,31
FATTY ACYLS (FA)||FA 22:6|C22:6||C22H32O2|328,2397|2,91
FATTY ACYLS (FA)||FA 23:0|C23:0||C23H46O2|354,3499|6,31
FATTY ACYLS (FA)||FA 24:0|C24:0||C24H48O2|368,3660|7,78
FATTY ACYLS (FA)||FA 24:1|C24:1||C24H46O2|366,3504|6,41
FATTY ACYLS (FA)||FA 25:0|C25:0||C25H50O2|382,3812|7,88
FATTY ACYLS (FA)||FA 26:0|C26:0||C26H52O2|396,3967|8,92
FATTY ACYLS (FA)||FA 28:7|C28:7||C28H42O2|410,3179|5,32
FATTY ACYLS (FA)||FA 33:0|C33:0||C33H66O2|494,5063|12,83
FATTY ACYLS (FA)||FA 34:0|C34:0||C34H68O2|508,5219|13,04
FATTY ACYLS (FA)||FA 36:0|C36:0||C36H72O2|536,5532|13,49
FATTY ACYLS (FA)|FA|CAR 10:0|CAR10:0||C17H33NO4|315,2435|0,96
FATTY ACYLS (FA)|FA|CAR 10:1|CAR10:1||C17H31NO4|313,2276|0,91
FATTY ACYLS (FA)|FA|CAR 11:0|CAR11:0||C18H35NO4|329,2580|0,98
FATTY ACYLS (FA)|FA|CAR 11:1|CAR11:1||C18H33NO4|327,2428|0,95
FATTY ACYLS (FA)|FA|CAR 12:0|CAR12:0||C19H37NO4|343,2744|1,06
FATTY ACYLS (FA)|FA|CAR 12:1|CAR12:1||C19H35NO4|341,2560|0,98
FATTY ACYLS (FA)|FA|CAR 13:1|CAR13:1||C20H37NO4|355,2723|0,98
FATTY ACYLS (FA)|FA|CAR 14:1|CAR14:1||C21H39NO4|369,2889|1,07
FATTY ACYLS (FA)|FA|CAR 14:2|CAR14:2||C21H37NO4|367,2705|0,99
FATTY ACYLS (FA)|FA|CAR 16:0|CAR16:0||C23H45NO4|399,3392|2,39
FATTY ACYLS (FA)||CAR 16:1|CAR16:1||C23H43NO4|397,3195|1,80
FATTY ACYLS (FA)||CAR 18:1|CAR18:1||C25H47NO4|425,3505|2,57
FATTY ACYLS (FA)||CAR 2:0|CAR2:0||C9H17NO4|203,1146|0,73
FATTY ACYLS (FA)||CAR 4:0|CAR4:0||C11H21NO4|231,1471|0,79
FATTY ACYLS (FA)||CAR 5:0|CAR5:0||C12H23NO4|245,1620|0,81
FATTY ACYLS (FA)||CAR 6:0|CAR6:0||C13H25NO4|259,1784|0,80
FATTY ACYLS (FA)||CAR 8:0|CAR8:0||C15H29NO4|287,2110|0,86
FATTY ACYLS (FA)||CAR 8:1|CAR8:1||C15H27NO4|285,1944|0,83
FATTY ACYLS (FA)||CAR 9:0|CAR9:0||C16H31NO4|301,2264|0,87
FATTY ACYLS (FA)||CAR 9:1|CAR9:1||C16H29NO4|299,2097|0,85
FATTY ACYLS (FA)||CARNITINE|CARNITINE||C7H15NO3|161,1055|0,76
STEROL LIPIDS (ST)||CE 16:0|CE(16:0)||C43H76O2|624,5828|15,83
STEROL LIPIDS (ST)||CE 16:1|CE(16:1)||C43H74O2|622,5571|14,94
STEROL LIPIDS (ST)||CE 16:3|CE(16:3)||C43H70O2|618,5376|11,87
STEROL LIPIDS (ST)||CE 18:1|CE(18:1)||C45H78O2|650,5953|15,77
STEROL LIPIDS (ST)||CE 18:2|CE(18:2)||C45H76O2|648,5873|14,99
STEROL LIPIDS (ST)||CE 18:3|CE(18:3)||C45H74O2|646,5660|14,42
STEROL LIPIDS (ST)||CE 20:3|CE(20:3)||C47H78O2|674,5905|15,04
STEROL LIPIDS (ST)||CE 20:4|CE(20:4)||C47H76O2|672,5879|14,58
STEROL LIPIDS (ST)||CE 20:5|CE(20:5)||C47H74O2|670,5591|14,09
STEROL LIPIDS (ST)||CE 22:4|CE(22:4)||C49H80O2|700,6112|15,14
STEROL LIPIDS (ST)||CE 22:5|CE(22:5)||C49H78O2|698,5892|14,57
STEROL LIPIDS (ST)||CE 22:6|CE(22:6)||C49H76O2|696,5815|14,24
SPHINGOLIPIDS (SP)||Cer 38:0|Cer(d16:0/22:0)||C38H77NO3|595,5903|12,09
SPHINGOLIPIDS (SP)||Cer 39:1|Cer(d16:1/23:0)||C39H78NO3|607,5903|12,14
SPHINGOLIPIDS (SP)||Cer 36:0|Cer(d18:0/18:0)||C36H73NO3|567,5549|11,77
SPHINGOLIPIDS (SP)||Cer 38:0|Cer(d18:0/20:0)||C38H77NO3|595,5903|12,12
SPHINGOLIPIDS (SP)||Cer 40:0|Cer(d18:0/22:0)||C40H81NO3|623,6200|12,37
SPHINGOLIPIDS (SP)||Cer 41:0|Cer(d18:0/23:0)||C41H83NO3|637,6351|12,53
SPHINGOLIPIDS (SP)||Cer 42:0|Cer(d18:0/24:0)||C42H85NO3|651,6521|12,69
SPHINGOLIPIDS (SP)||Cer 42:1|Cer(d18:0/24:1)||C42H83NO3|649,6351|12,36
SPHINGOLIPIDS (SP)||Cer 43:0|Cer(d18:0/25:0)||C43H87NO3|665,6541|12,91
SPHINGOLIPIDS (SP)||Cer 34:0|Cer(d18:0_16:0)||C34H69NO3|539,5172|9,91
SPHINGOLIPIDS (SP)||Cer 34:1|Cer(d18:1/16:0)||C34H67NO3|537,5125|9,02
SPHINGOLIPIDS (SP)||Cer 34:2|Cer(d18:1/16:1)||C34H65NO3|535,4957|7,64
SPHINGOLIPIDS (SP)||Cer 36:1|Cer(d18:1/18:0)||C36H71NO3|565,5437|11,41
SPHINGOLIPIDS (SP)||Cer 38:1|Cer(d18:1/20:0)||C38H75NO3|593,5751|11,96
SPHINGOLIPIDS (SP)||Cer 38:2|Cer(d18:1/20:1)||C38H73NO3|591,5582|11,59
SPHINGOLIPIDS (SP)||Cer 40:1|Cer(d18:1/22:0)||C40H79NO3|621,6067|12,25
SPHINGOLIPIDS (SP)||Cer 40:2|Cer(d18:1/22:1)||C40H77NO3|619,5905|12,01
SPHINGOLIPIDS (SP)||Cer 41:1|Cer(d18:1/23:0)||C41H81NO3|635,6228|12,40
SPHINGOLIPIDS (SP)||Cer 41:2|Cer(d18:1/23:1)||C41H79NO3|633,6060|12,20
SPHINGOLIPIDS (SP)||Cer 42:1|Cer(d18:1/24:0)||C42H83NO3|649,6387|12,56
SPHINGOLIPIDS (SP)||Cer 42:2|Cer(d18:1/24:1)||C42H81NO3|647,6216|12,26
SPHINGOLIPIDS (SP)||Cer 43:1|Cer(d18:1/25:0)||C43H85NO3|663,6534|12,65
SPHINGOLIPIDS (SP)||Cer 43:2|Cer(d18:1/25:1)||C43H83NO3|661,6365|12,29
SPHINGOLIPIDS (SP)||Cer 44:2|Cer(d18:1/26:1)||C44H85NO3|675,6624|12,44
SPHINGOLIPIDS (SP)||Cer 40:2|Cer(d18:2/22:0)||C40H77NO3|619,5903|12,04
SPHINGOLIPIDS (SP)||Cer 41:2|Cer(d18:2/23:0)||C41H79NO3|633,6053|12,16
SPHINGOLIPIDS (SP)||Cer 42:2|Cer(d18:2/24:0)||C42H81NO3|647,6225|12,24
SPHINGOLIPIDS (SP)||Cer 43:1|Cer(d19:1/24:0)||C43H85NO3|663,6529|12,67
SPHINGOLIPIDS (SP)||Cer 44:0|Cer(d20:0/24:0)||C44H89NO3|679,6828|13,03
SPHINGOLIPIDS (SP)||Cer 44:1|Cer(d20:1/24:0)||C44H87NO3|677,6679|12,88
SPHINGOLIPIDS (SP)||Cer 46:0|Cer(d22:0/24:0)||C46H93NO3|707,7143|13,40
GLYCEROLIPIDS (GL)||DG 34:3|DG(16:0_18:3_0:0)||C37H66O5|590,4836|11,07
GLYCEROLIPIDS (GL)||DG 36:4|DG(16:0_20:4_0:0)||C39H68O5|616,5117|11,55
GLYCEROLIPIDS (GL)||DG 34:3|DG(16:1_18:2_0:0)||C37H66O5|590,4939|10,17
GLYCEROLIPIDS (GL)||DG 36:5|DG(18:2_18:3_0:0)||C39H66O5|614,4856|9,42
GLYCEROLIPIDS (GL)||DG 32:1|DG32:1||C35H66O5|566,4883|11,48
GLYCEROLIPIDS (GL)||DG 34:1|DG34:1||C37H70O5|594,5225|11,94
GLYCEROLIPIDS (GL)||DG 34:2|DG34:2||C37H68O5|592,5053|11,67
GLYCEROLIPIDS (GL)||DG 36:2|DG36:2||C39H72O5|620,5190|12,00
GLYCEROLIPIDS (GL)||DG 36:3|DG36:3||C39H70O5|618,5244|11,69
GLYCEROLIPIDS (GL)||DG 36:4|DG36:4||C39H68O5|616,5019|10,87
GLYCEROLIPIDS (GL)||DG 38:4|DG38:4||C41H72O5|644,5430|11,85
GLYCEROLIPIDS (GL)||DG 38:5|DG38:5||C41H70O5|642,5204|11,58
FATTY ACYLS (FA)||FAHFA 34:2|FAHFA16:0_(FA18:2)||C34H62O4|534,4651|3,66
FATTY ACYLS (FA)||FAHFA 36:1|FAHFA18:0_(FA20:2)||C38H70O4|590,5236|4,41
FATTY ACYLS (FA)||FAHFA 38:2|FAHFA18:1_(FA18:0)||C36H68O4|564,5081|3,78
FATTY ACYLS (FA)||FAHFA 38:4|FAHFA18:1_(FA20:3)||C38H66O4|586,4943|3,78
FATTY ACYLS (FA)||FAHFA 38:6|FAHFA18:2_(FA20:4)||C38H62O4|582,4631|3,19
FATTY ACYLS (FA)||FAHFA 40:5|FAHFA18:2_(FA22:3)||C40H68O4|612,5095|11,61
GLYCEROLIPIDS (GL)||HexCer 34:1|GlcCer(d18:1/16:0)||C40H77NO8|699,5551|7,59
GLYCEROLIPIDS (GL)||HexCer 40:1|GlcCer(d18:1/22:0)||C46H89NO8|783,6574|12,10
GLYCEROLIPIDS (GL)||HexCer 41:1|GlcCer(d18:1/23:0)||C47H91NO8|797,6804|12,24
GLYCEROLIPIDS (GL)||HexCer 42:1|GlcCer(d18:1/24:0)||C48H93NO8|811,6899|12,23
GLYCEROLIPIDS (GL)||HexCer 42:2|GlcCer(d20:2/22:0)||C48H91NO8|809,6738|11,97
GLYCEROLIPIDS (GL)||MG 16:4|MG(16:4/0:0/0:0)||C19H30O4|322,2153|0,98
GLYCEROLIPIDS (GL)||MG 18:2|MG(18:2/0:0/0:0)||C21H38O4|354,2761|1,63
GLYCEROLIPIDS (GL)||MG 20:2|MG(20:2/0:0/0:0)||C23H42O4|382,3123|2,40
FATTY ACYLS (FA)||MG 20:3|MG(20:3/0:0/0:0)||C23H40O4|380,2931|1,80
FATTY ACYLS (FA)||NAE 14:0|NAE14:0||C16H33NO2|271,2514|1,07
FATTY ACYLS (FA)||NAE 16:0|NAE16:0||C18H37NO2|299,2821|1,41
FATTY ACYLS (FA)||NAE 18:0|NAE18:0||C20H41NO2|327,3134|2,47
GLYCEROPHOSPHOLIPIDS (GP)||LPA 20:4|PA(20:4_0:0)||C23H39O7P|458,2433|2,63
GLYCEROPHOSPHOLIPIDS (GP)||PA 32:1|PA32:1||C35H67O8P|646,4574|12,25
GLYCEROPHOSPHOLIPIDS (GP)||PA 34:2|PA34:2||C37H69O8P|672,4730|7,87
GLYCEROPHOSPHOLIPIDS (GP)||PA 36:4|PA36:4||C39H69O8P|696,4730|7,64
GLYCEROPHOSPHOLIPIDS (GP)||PC O-30:1/PC P-30:0|PC O-30:1/PC P-30:0||C38H76NO7P|689,5275|8,20
GLYCEROPHOSPHOLIPIDS (GP)||LPC 14:0|PC(0:0/14:0)||C22H46NO7P|467,3005|1,42
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:0|PC(0:0/16:0)||C24H50NO7P|495,3333|2,43
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:1|PC(0:0/16:1)||C24H48NO7P|493,3149|1,58
GLYCEROPHOSPHOLIPIDS (GP)||LPC 17:0|PC(0:0/17:0)||C25H52NO7P|509,3495|2,91
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:0|PC(0:0/18:0)||C26H54NO7P|523,3630|3,23
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:1|PC(0:0/18:1)||C26H52NO7P|521,3484|2,62
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:2|PC(0:0/18:2)||C26H50NO7P|519,3309|2,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:3|PC(0:0/18:3)||C26H48NO7P|517,3129|2,43
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:0|PC(0:0/20:0)||C28H58NO7P|551,3994|4,10
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:2|PC(0:0/20:2)||C28H54NO7P|547,3634|2,88
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:3|PC(0:0/20:3)||C28H52NO7P|545,3458|2,35
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:4|PC(0:0/20:4)||C28H50NO7P|543,3303|2,02
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:5|PC(0:0/20:5)||C28H48NO7P|541,3137|1,38
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:4|PC(0:0/22:4)||C30H54NO7P|571,3635|2,70
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:6|PC(0:0/22:6)||C30H50NO7P|567,3352|1,95
GLYCEROPHOSPHOLIPIDS (GP)||LPC 14:0|PC(14:0/0:0)||C22H46NO7P|467,3012|1,80
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:2|PC(14:0_18:2)||C40H76NO8P|729,5311|6,52
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:4|PC(14:0_20:4)||C42H76NO8P|753,5312|6,37
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:6|PC(14:0_22:6)||C44H76NO8P|777,5330|6,14
GLYCEROPHOSPHOLIPIDS (GP)||LPC 15:0|PC(15:0/0:0)||C23H48NO7P|481,3150|2,18
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:0|PC(16:0/0:0)||C24H50NO7P|495,3326|2,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:0|PC(16:0/16:0)||C40H80NO8P|733,5582|9,22
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:1|PC(16:0/18:1)||C42H82NO8P|759,5749|9,57
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:2|PC(16:0/18:2)||C42H80NO8P|757,5615|8,04
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(16:0/18:3)||C42H78NO8P|755,5486|7,00
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(16:0/20:4)||C44H80NO8P|781,5622|7,82
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(16:0/20:5)||C44H78NO8P|779,5462|6,87
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:5|PC(16:0/22:5)||C46H82NO8P|807,5751|8,58
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:6|PC(16:0/22:6)||C46H80NO8P|805,5671|7,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 30:0|PC(16:0_14:0)||C38H76NO8P|705,5304|7,32
GLYCEROPHOSPHOLIPIDS (GP)||PC 32:1|PC(16:0_16:1)||C40H78NO8P|731,5445|7,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(16:0_20:3)||C44H82NO8P|783,5745|8,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(16:0_20:3)||C44H82NO8P|783,5769|9,19
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(16:0_22:4)||C46H84NO8P|809,5972|9,30
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:4|PC(16:0_24:4)||C48H88NO8P|837,6181|11,67
GLYCEROPHOSPHOLIPIDS (GP)||LPC 16:1|PC(16:1/0:0)||C24H48NO7P|493,3148|1,97
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(16:1/20:4)||C44H78NO8P|779,5455|6,55
GLYCEROPHOSPHOLIPIDS (GP)||PC 30:1|PC(16:1_14:0)||C38H74NO8P|703,5152|6,20
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(16:1_18:2)||C42H78NO8P|755,5458|6,72
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:7|PC(16:1_22:6)||C46H78NO8P|803,5472|6,32
GLYCEROPHOSPHOLIPIDS (GP)||LPC 17:0|PC(17:0/0:0)||C25H52NO7P|509,3496|3,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:0|PC(18:0/0:0)||C26H54NO7P|523,3631|3,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:0|PC(18:0/16:0)||C42H84NO8P|761,5980|11,37
GLYCEROPHOSPHOLIPIDS (GP)||PC 34:3|PC(18:0/16:3)||C42H78NO8P|755,5452|7,20
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:0|PC(18:0/18:0)||C44H88NO8P|789,6257|11,95
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:2|PC(18:0/18:2)||C44H84NO8P|785,5920|10,25
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:1|PC(18:0/20:1)||C46H90NO8P|815,6394|11,97
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(18:0/20:4)||C46H84NO8P|809,5980|9,95
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:4|PC(18:0/22:4)||C48H88NO8P|837,6172|11,48
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:5|PC(18:0/22:5)||C48H86NO8P|835,6051|10,19
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:6|PC(18:0/22:6)||C48H84NO8P|833,5969|9,45
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:1|PC(18:0_18:1)||C44H86NO8P|787,6060|11,59
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:0_18:3)||C44H82NO8P|783,5786|11,47
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(18:0_18:4)||C44H80NO8P|781,5588|7,45
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:3|PC(18:0_20:3)||C46H86NO8P|811,6048|11,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:1|PC(18:1/0:0)||C26H52NO7P|521,3455|2,80
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:2|PC(18:1/18:1)||C44H84NO8P|785,5911|9,89
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:1/18:2)||C44H82NO8P|783,5748|8,27
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(18:1/18:4)||C44H78NO8P|779,5465|6,85
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:2|PC(18:1/20:1)||C46H88NO8P|813,6276|11,69
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:7|PC(18:1/22:6)||C48H82NO8P|831,5790|7,68
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:4|PC(18:1_20:3)||C46H84NO8P|809,5962|8,87
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:5|PC(18:1_20:4)||C46H82NO8P|807,5769|8,27
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:6|PC(18:1_22:5)||C48H84NO8P|833,5978|8,25
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:2|PC(18:2/0:0)||C26H50NO7P|519,3311|2,24
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:3|PC(18:2/18:1)||C44H82NO8P|783,5778|8,10
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:4|PC(18:2/18:2)||C44H80NO8P|781,5583|7,09
GLYCEROPHOSPHOLIPIDS (GP)||PC 36:5|PC(18:2/18:3)||C44H78NO8P|779,5444|6,23
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:6|PC(18:2/20:4)||C46H80NO8P|805,5663|6,89
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:7|PC(18:2_20:5)||C46H78NO8P|803,5461|6,14
GLYCEROPHOSPHOLIPIDS (GP)||LPC 18:3|PC(18:3/0:0)||C26H48NO7P|517,3161|2,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:1|PC(19:0_18:1)||C45H88NO8P|801,6275|11,83
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:2|PC(19:0_18:2)||C45H86NO8P|799,6121|11,40
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:0|PC(20:0/0:0)||C28H58NO7P|551,3963|4,25
