LIPID CATEGORY|LIPID CATEGORY|SUM COMPOSITION|INDIVIDUAL LIPID SPECIES |poner por niveles|FORMULA|MONOISOTOPIC MASS|RT
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:2|PC(20:0_20:2)||C48H92NO8P|841,6643|12,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:1|PC(20:1_0:0)||C28H56NO7P|549,3766|3,58
GLYCEROPHOSPHOLIPIDS (GP)||PC 38:3|PC(20:1_18:2)||C46H86NO8P|811,6094|10,40
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:2|PC(20:2/0:0)||C28H54NO7P|547,3661|3,02
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:3|PC(20:3/0:0)||C28H52NO7P|545,3467|2,53
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:7|PC(20:3/20:4)||C48H82NO8P|831,5707|7,42
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:4|PC(20:4/0:0)||C28H50NO7P|543,3303|2,18
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:8|PC(20:4/20:4)||C48H80NO8P|829,5589|6,64
GLYCEROPHOSPHOLIPIDS (GP)||LPC 20:5|PC(20:5/0:0)||C28H48NO7P|541,3113|1,75
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:4|PC(22:4/0:0)||C30H54NO7P|571,3608|2,82
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:5|PC(22:5_0:0)||C30H52NO7P|569,3485|2,35
GLYCEROPHOSPHOLIPIDS (GP)||LPC 22:6|PC(22:6/0:0)||C30H50NO7P|567,3343|2,10
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-16:0|PC(O-16:0/0:0)||C24H52NO6P|481,3568|3,05
GLYCEROPHOSPHOLIPIDS (GP)||PC O-32:0|PC(O-16:0/16:0)||C40H82NO7P|719,5813|10,87
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:4/PC P-36:3|PC(O-16:0_20:4)||C44H82NO7P|767,5832|9,05
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-16:1|PC(O-16:1/0:0)||C24H50NO6P|479,3358|2,99
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:2/PC P-34:1|PC(O-16:1/18:1)/PC(P-16:0/18:1)||C42H82NO7P|743,5776|10,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:3/PC P-34:2|PC(O-16:1/18:2)/PC(P-16:0/18:2)||C42H80NO7P|741,5651|9,00
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:5/PC P-36:4|PC(O-16:1/20:4)/PC(P-16:0/20:4)||C44H80NO7P|765,5710|8,69
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:6/PC P-38:5|PC(O-16:1_22:5)/PC(P-16:0_22:5)||C46H82NO7P|791,5783|8,92
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-18:0|PC(O-18:0/0:0)||C26H56NO6P|509,3845|3,89
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:4/PC P-38:3|PC(O-18:0/20:4)||C46H86NO7P|795,6116|11,40
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:2/PC P-36:1|PC(O-18:0_18:2)||C44H86NO7P|771,6123|11,59
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:3/PC P-38:2|PC(O-18:0_20:3)||C46H88NO7P|797,6275|11,82
GLYCEROPHOSPHOLIPIDS (GP)||LPC O-18:1|PC(O-18:1/0:0)||C26H54NO6P|507,3680|3,20
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:2/PC P-36:1|PC(O-18:1/18:1)/PC(P-18:0/18:1)||C44H86NO7P|771,6102|11,35
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:3/PC P-36:2|PC(O-18:1/18:2)/PC(P-18:0/18:2)||C44H84NO7P|769,6011|9,57
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PC(O-18:1/20:4)/PC(P-18:0/20:4)||C46H84NO7P|793,6005|9,29
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:7/PC P-40:6|PC(O-18:1/22:6)/PC(P-18:0/22:6)||C48H84NO7P|817,5960|8,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PC(O-18:1_20:4)/PC(P-18:0_20:4)||C46H84NO7P|793,5986|11,05
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:4/PC P-40:3|PC(O-20:0_20:4)||C48H90NO7P|823,6455|11,92
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:5/PC P-40:4|PC(O-20:1_20:4)/PC(P-20:0_20:4)||C48H88NO7P|821,6314|11,47
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:4/PC P-42:3|PC(O-22:0_20:4)||C50H94NO7P|851,6756|12,17
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:5/PC P-42:4|PC(O-22:1_20:4)/PC(O-22:0_20:4)||C50H92NO7P|849,6568|11,94
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:6/PC P-42:5|PC(O-22:2_20:4)/PC(O-22:1_20:4)||C50H90NO7P|847,6389|11,87
GLYCEROPHOSPHOLIPIDS (GP)||PC O-44:5/PC P-44:4|PC(O-24:1_20:4)/PC(P-24:0_20:4)||C52H96NO7P|877,6917|12,17
GLYCEROPHOSPHOLIPIDS (GP)||PC O-46:7/PC P-46:6|PC(O-24:1_22:6)/PC(P-24:0_22:6)||C54H96NO7P|901,6996|11,99
GLYCEROPHOSPHOLIPIDS (GP)||PC O-44:6/PC P-44:5|PC(O-24:2_20:4)/PC(P-24:1_20:4)||C52H94NO7P|875,6701|11,97
GLYCEROPHOSPHOLIPIDS (GP)||PC 28:0|PC28:0||C36H72NO8P|677,4971|6,02
GLYCEROPHOSPHOLIPIDS (GP)||PC 31:1|PC31:1||C39H76NO8P|717,5255|6,85
GLYCEROPHOSPHOLIPIDS (GP)||PC 33:3|PC33:3||C41H76NO8P|741,5410|8,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 35:3|PC35:3||C43H80NO8P|769,5603|7,43
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:3|PC37:3||C45H84NO8P|797,5967|9,72
GLYCEROPHOSPHOLIPIDS (GP)||PC 37:6|PC37:6||C45H78NO8P|791,5450|9,70
GLYCEROPHOSPHOLIPIDS (GP)||PC 39:2|PC39:2||C47H90NO8P|827,6442|9,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 39:3|PC39:3||C47H88NO8P|825,6248|9,02
GLYCEROPHOSPHOLIPIDS (GP)||PC 39:4|PC39:4||C47H86NO8P|823,6116|11,24
GLYCEROPHOSPHOLIPIDS (GP)||PC 39:5|PC39:5||C47H84NO8P|821,5927|8,99
GLYCEROPHOSPHOLIPIDS (GP)||PC 39:6|PC39:6||C47H82NO8P|819,5918|8,07
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:3|PC40:3||C48H90NO8P|839,6412|11,85
GLYCEROPHOSPHOLIPIDS (GP)||PC 40:5|PC40:5||C48H86NO8P|835,6048|11,09
GLYCEROPHOSPHOLIPIDS (GP)||PC 41:5|PC41:5||C49H88NO8P|849,6179|8,60
GLYCEROPHOSPHOLIPIDS (GP)||PC 42:10|PC42:10||C50H80NO8P|853,5671|6,40
GLYCEROPHOSPHOLIPIDS (GP)||PC 42:4|PC42:4||C50H92NO8P|865,6543|11,89
GLYCEROPHOSPHOLIPIDS (GP)||PC 42:5|PC42:5||C50H90NO8P|863,6267|11,62
GLYCEROPHOSPHOLIPIDS (GP)||PC 42:8|PC42:8||C50H84NO8P|857,5883|7,79
GLYCEROPHOSPHOLIPIDS (GP)||PC O-30:0|PCO-30:0||C38H78NO7P|691,5540|8,44
GLYCEROPHOSPHOLIPIDS (GP)||PC O-32:1/PC P-32:0|PCO-32:1/PCP-32:0||C40H80NO7P|717,5606|8,77
GLYCEROPHOSPHOLIPIDS (GP)||PC O-32:1/PC P-32:0|PCO-32:1/PCP-32:0||C40H80NO7P|717,5663|10,50
GLYCEROPHOSPHOLIPIDS (GP)||PC O-32:2/PC P-32:1|PCO-32:2/PCP-32:1||C40H78NO7P|715,5435|7,40
GLYCEROPHOSPHOLIPIDS (GP)||PC O-33:6/PC P-33:5|PCO-33:6/PCP-33:5||C41H72NO7P|721,5017|7,92
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:0|PCO-34:0||C42H86NO7P|747,6138|11,85
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:1/PC P-34:0|PCO-34:1/PCP-34:0||C42H84NO7P|745,5995|11,14
GLYCEROPHOSPHOLIPIDS (GP)||PC O-34:2/PC P-34:1|PCO-34:2/PCP-34:1||C42H82NO7P|743,5793|9,33
GLYCEROPHOSPHOLIPIDS (GP)||PC O-35:3/PC P-35:2|PCO-35:3/PCP-35:2||C43H82NO7P|755,5894|10,19
GLYCEROPHOSPHOLIPIDS (GP)||PC O-35:4/PC P-35:3|PCO-35:4/PCP-35:3||C43H80NO7P|753,5602|11,36
GLYCEROPHOSPHOLIPIDS (GP)||PC O-35:5/PC P-35:4|PCO-35:5/PCP-35:4||C43H78NO7P|751,5592|7,50
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:1/PC P-36:0|PCO-36:1/PCP-36:0||C44H88NO7P|773,6391|11,80
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:2/PC P-36:1|PCO-36:2/PCP-36:1||C44H86NO7P|771,6133|11,83
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:3/PC P-36:2|PCO-36:3/PCP-36:2||C44H84NO7P|769,6004|11,39
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:3/PC P-36:2|PCO-36:3/PCP-36:2||C44H84NO7P|769,6027|9,88
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:3/PC P-36:2|PCO-36:3/PCP-36:2||C44H84NO7P|769,6034|11,10
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:4/PC P-36:3|PCO-36:4/PCP-36:3||C44H82NO7P|767,5825|9,62
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:5/PC P-36:4|PCO-36:5/PCP-36:4||C44H80NO7P|765,5689|7,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-36:6/PC P-36:5|PCO-36:6/PCP-36:5||C44H78NO7P|763,5606|7,43
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:1/PC P-37:0|PCO-37:1/PCP-37:0||C45H90NO7P|787,6623|11,75
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:10/PC P-37:9|PCO-37:10/PCP-37:9||C45H72NO7P|769,5015|7,57
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:4/PC P-37:3|PCO-37:4/PCP-37:3||C45H84NO7P|781,5985|10,23
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:5/PC P-37:4|PCO-37:5/PCP-37:4||C45H82NO7P|779,5813|9,42
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:5/PC P-37:4|PCO-37:5/PCP-37:4||C45H82NO7P|779,5847|9,74
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:8/PC P-37:7|PCO-37:8/PCP-37:7||C45H76NO7P|773,5423|8,95
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:9/PC P-37:8|PCO-37:9/PCP-37:8||C45H74NO7P|771,5201|9,47
GLYCEROPHOSPHOLIPIDS (GP)||PC O-37:9/PC P-37:8|PCO-37:9/PCP-37:8||C45H74NO7P|771,5203|11,55
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:4/PC P-38:3|PCO-38:4/PCP-38:3||C46H86NO7P|795,6076|10,90
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:4/PC P-38:3|PCO-38:4/PCP-38:3||C46H86NO7P|795,6098|10,35
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PCO-38:5/PCP-38:4||C46H84NO7P|793,5968|9,94
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PCO-38:5/PCP-38:4||C46H84NO7P|793,5978|10,43
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PCO-38:5/PCP-38:4||C46H84NO7P|793,6020|9,59
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PCO-38:5/PCP-38:4||C46H84NO7P|793,6021|10,23
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:5/PC P-38:4|PCO-38:5/PCP-38:4||C46H84NO7P|793,6035|9,76
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:6/PC P-38:5|PCO-38:6/PCP-38:5||C46H82NO7P|791,5772|8,00
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:6/PC P-38:5|PCO-38:6/PCP-38:5||C46H82NO7P|791,5780|8,60
GLYCEROPHOSPHOLIPIDS (GP)||PC O-38:8/PC P-38:7|PCO-38:8/PCP-38:7||C46H78NO7P|787,5492|8,60
GLYCEROPHOSPHOLIPIDS (GP)||PC O-39:10/PC P-39:9|PCO-39:10/PCP-39:9||C47H76NO7P|797,5381|9,57
GLYCEROPHOSPHOLIPIDS (GP)||PC O-39:7/PC P-39:6|PCO-39:7/PCP-39:6||C47H82NO7P|803,5898|11,83
GLYCEROPHOSPHOLIPIDS (GP)||PC O-39:8/PC P-39:7|PCO-39:8/PCP-39:7||C47H80NO7P|801,5672|11,92
GLYCEROPHOSPHOLIPIDS (GP)||PC O-39:9/PC P-39:8|PCO-39:9/PCP-39:8||C47H78NO7P|799,5473|11,54
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:11/PC P-40:10|PCO-40:11/PCP-40:10||C48H76NO7P|809,5358|7,27
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:5/PC P-40:4|PCO-40:5/PCP-40:4||C48H88NO7P|821,6287|11,58
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:6/PC P-40:5|PCO-40:6/PCP-40:5||C48H86NO7P|819,6023|10,18
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:6/PC P-40:5|PCO-40:6/PCP-40:5||C48H86NO7P|819,6033|9,33
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:6/PC P-40:5|PCO-40:6/PCP-40:5||C48H86NO7P|819,6044|11,09
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:6/PC P-40:5|PCO-40:6/PCP-40:5||C48H86NO7P|819,6094|10,82
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:7/PC P-40:6|PCO-40:7/PCP-40:6||C48H84NO7P|817,5963|10,60
GLYCEROPHOSPHOLIPIDS (GP)||PC O-40:8/PC P-40:7|PCO-40:8/PCP-40:7||C48H82NO7P|815,5777|9,44
GLYCEROPHOSPHOLIPIDS (GP)||PC O-41:10/PC P-41:9|PCO-41:10/PCP-41:9||C49H80NO7P|825,5713|11,51
GLYCEROPHOSPHOLIPIDS (GP)||PC O-41:11/PC P-41:10|PCO-41:11/PCP-41:10||C49H78NO7P|823,5489|10,25
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:7/PC P-42:6|PCO-42:7/PCP-42:6||C50H88NO7P|845,6323|11,92
GLYCEROPHOSPHOLIPIDS (GP)||PC O-42:8/PC P-42:7|PCO-42:8/PCP-42:7||C50H86NO7P|843,6142|11,46
GLYCEROPHOSPHOLIPIDS (GP)||PC O-43:2/PC P-43:1|PCO-43:2/PCP-43:1||C51H100NO7P|869,7137|12,25
GLYCEROPHOSPHOLIPIDS (GP)||PC O-44:4/PC P-44:3|PCO-44:4/PCP-44:3||C52H98NO7P|879,7063|12,27
GLYCEROPHOSPHOLIPIDS (GP)||PC O-44:6/PC P-44:5|PCO-44:6/PCP-44:5||C52H94NO7P|875,6752|11,93
GLYCEROPHOSPHOLIPIDS (GP)||PC O-46:5/PC P-46:4|PCO-46:5/PCP-46:4||C54H100NO7P|905,7237|12,34
GLYCEROPHOSPHOLIPIDS (GP)||PC O-46:6/PC P-46:5|PCO-46:6/PCP-46:5||C54H98NO7P|903,7081|12,18
GLYCEROPHOSPHOLIPIDS (GP)||PC O-46:8/PC P-46:7|PCO-46:8/PCP-46:7||C54H94NO7P|899,6822|11,90
GLYCEROPHOSPHOLIPIDS (GP)||PC O-47:12/PC P-47:11|PCO-47:12/PCP-47:11||C55H88NO7P|905,6239|11,87
GLYCEROPHOSPHOLIPIDS (GP)||LPE 16:0|PE(0:0/16:0)||C21H44NO7P|453,2853|2,55
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:0|PE(0:0/18:0)||C23H48NO7P|481,3138|3,38
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:1|PE(0:0/18:1)||C23H46NO7P|479,2972|2,69
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:2|PE(0:0/18:2)||C23H44NO7P|477,2828|2,13
GLYCEROPHOSPHOLIPIDS (GP)||LPE 20:4|PE(0:0/20:4)||C25H44NO7P|501,2844|2,05
GLYCEROPHOSPHOLIPIDS (GP)||LPE 22:6|PE(0:0/22:6)||C27H44NO7P|525,2864|2,03
GLYCEROPHOSPHOLIPIDS (GP)||LPE 16:0|PE(16:0/0:0)||C21H44NO7P|453,2857|2,73
GLYCEROPHOSPHOLIPIDS (GP)||PE 34:1|PE(16:0/18:1)||C39H76NO8P|717,5269|10,00
GLYCEROPHOSPHOLIPIDS (GP)||PE 34:2|PE(16:0/18:2)||C39H74NO8P|715,5217|8,42
GLYCEROPHOSPHOLIPIDS (GP)||PE 36:4|PE(16:0/20:4)||C41H74NO8P|739,5142|8,04
GLYCEROPHOSPHOLIPIDS (GP)||PE 36:5|PE(16:0/20:5)||C41H72NO8P|737,4975|7,13
GLYCEROPHOSPHOLIPIDS (GP)||PE 38:5|PE(16:0/22:5)||C43H76NO8P|765,5225|8,60
GLYCEROPHOSPHOLIPIDS (GP)||PE 38:6|PE(16:0/22:6)||C43H74NO8P|763,5200|7,82
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:0|PE(18:0/0:0)||C23H48NO7P|481,3178|3,58
GLYCEROPHOSPHOLIPIDS (GP)||PE 36:1|PE(18:0/18:1)||C41H80NO8P|745,5577|11,70
GLYCEROPHOSPHOLIPIDS (GP)||PE 36:2|PE(18:0/18:2)||C41H78NO8P|743,5594|10,78
GLYCEROPHOSPHOLIPIDS (GP)||PE 38:3|PE(18:0/20:3)||C43H80NO8P|769,5644|11,25
GLYCEROPHOSPHOLIPIDS (GP)||PE 38:4|PE(18:0/20:4)||C43H78NO8P|767,5405|10,24
GLYCEROPHOSPHOLIPIDS (GP)||PE 40:4|PE(18:0/22:4)||C45H82NO8P|795,5778|11,68
GLYCEROPHOSPHOLIPIDS (GP)||PE 40:5|PE(18:0/22:5)||C45H80NO8P|793,5739|10,74
GLYCEROPHOSPHOLIPIDS (GP)||PE 40:6|PE(18:0/22:6)||C45H78NO8P|791,5450|9,70
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:1|PE(18:1/0:0)||C23H46NO7P|479,3009|2,87
GLYCEROPHOSPHOLIPIDS (GP)||PE 36:3|PE(18:1/18:2)||C41H76NO8P|741,5336|8,62
GLYCEROPHOSPHOLIPIDS (GP)||PE 38:5|PE(18:1/20:4)||C43H76NO8P|765,5326|8,29
GLYCEROPHOSPHOLIPIDS (GP)||LPE 18:2|PE(18:2/0:0)||C23H44NO7P|477,2826|2,33
GLYCEROPHOSPHOLIPIDS (GP)||LPE 20:3|PE(20:3/0:0)||C25H46NO7P|503,3040|2,62
GLYCEROPHOSPHOLIPIDS (GP)||LPE 20:4|PE(20:4/0:0)||C25H44NO7P|501,2839|2,23
GLYCEROPHOSPHOLIPIDS (GP)||LPE 22:5|PE(22:5/0:0)||C27H46NO7P|527,3012|2,48
GLYCEROPHOSPHOLIPIDS (GP)||LPE 22:6|PE(22:6/0:0)||C27H44NO7P|525,2841|2,18
GLYCEROPHOSPHOLIPIDS (GP)||LPE O-16:1|PE(O-16:1/0:0)||C21H44NO6P|437,2898|3,12
GLYCEROPHOSPHOLIPIDS (GP)||PE O-36:5/PE P-36:4|PE(O-16:1/20:4)/PE(P-16:0/20:4)||C41H74NO7P|723,5216|9,20
GLYCEROPHOSPHOLIPIDS (GP)||PE O-36:6/PE P-36:5|PE(O-16:1/20:5)/PE(P-16:0/20:5) ||C41H72NO7P|721,5046|7,88
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:7/PE P-38:6|PE(O-16:1/22:6)/PE(P-16:0/22:6)||C43H74NO7P|747,5271|8,70
GLYCEROPHOSPHOLIPIDS (GP)||PE O-34:2/PE P-34:1|PE(O-16:1_18:1)/PE(P-16:0_18:1)||C39H76NO7P|701,5359|11,26
GLYCEROPHOSPHOLIPIDS (GP)||PE O-34:3/PE P-34:2|PE(O-16:1_18:2)/PE(P-16:0_18:2)||C39H74NO7P|699,5178|9,51
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:6/PE P-38:5|PE(O-16:1_22:5)/PE(P-16:0_22:5)||C43H76NO7P|749,5356|9,44
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:4/PE P-38:3|PE(O-18:0_20:4)||C43H80NO7P|753,5697|11,52
GLYCEROPHOSPHOLIPIDS (GP)||LPE O-18:1|PE(O-18:1/0:0)||C23H48NO6P|465,3232|3,94
GLYCEROPHOSPHOLIPIDS (GP)||PE O-36:2/PE P-36:1|PE(O-18:1/18:1)/PE(P-18:0/18:1)||C41H80NO7P|729,5733|11,90
GLYCEROPHOSPHOLIPIDS (GP)||PE O-36:3/PE P-36:2|PE(O-18:1/18:2)/PE(P-18:0/18:2)||C41H78NO7P|727,5550|11,57
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:5/PE P-38:4|PE(O-18:1/20:4)/PE(P-18:0/20:4)||C43H78NO7P|751,5563|11,45
GLYCEROPHOSPHOLIPIDS (GP)||PE O-40:6/PE P-40:5|PE(O-18:1/22:5)/PE(P-18:0/22:5)||C45H80NO7P|777,5720|11,53
GLYCEROPHOSPHOLIPIDS (GP)||PE O-40:7/PE P-40:6|PE(O-18:1/22:6)/PE(P-18:0/22:6)||C45H78NO7P|775,5606|11,17
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:4/PE P-38:3|PE(O-18:1_20:3)/PE(P-18:0_20:3)||C43H80NO7P|753,5686|11,72
GLYCEROPHOSPHOLIPIDS (GP)||PE O-40:5/PE P-40:4|PE(O-18:1_22:4)/PE(P-18:0_22:4)||C45H84NO7P|781,5989|11,90
GLYCEROPHOSPHOLIPIDS (GP)||LPE O-18:2|PE(O-18:2/0:0)||C23H46NO6P|463,3081|3,24
GLYCEROPHOSPHOLIPIDS (GP)||PE O-36:4/PE P-36:3|PE(O-18:2/18:2)/PE(P-18:1/18:2)||C41H76NO7P|725,5418|9,80
GLYCEROPHOSPHOLIPIDS (GP)||PE O-38:6/PE P-38:5|PE(O-18:2/20:4)/PE(P-18:1/20:4)||C43H76NO7P|749,5356|9,44
GLYCEROPHOSPHOLIPIDS (GP)||PE O-40:8/PE P-40:7|PE(O-18:2/22:6)/PE(P-18:1/22:6)||C45H76NO7P|773,5424|8,95
